what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1290020389667
opened,editor,org.python.pydev,1.6.3.2010100513,"org.python.pydev.editor.PythonEditor",1290020389937
activated,editor,org.python.pydev,1.6.3.2010100513,"org.python.pydev.editor.PythonEditor",1290020390027
activated,editor,org.python.pydev,1.6.3.2010100513,"org.python.pydev.editor.PythonEditor",1290020393011
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1290020397027
activated,editor,org.python.pydev,1.6.3.2010100513,"org.python.pydev.editor.PythonEditor",1290020398710
activated,editor,org.python.pydev,1.6.3.2010100513,"org.python.pydev.editor.PythonEditor",1290020406881
activated,editor,org.python.pydev,1.6.3.2010100513,"org.python.pydev.editor.PythonEditor",1290020409585
activated,editor,org.python.pydev,1.6.3.2010100513,"org.python.pydev.editor.PythonEditor",1290020410807
activated,editor,org.python.pydev,1.6.3.2010100513,"org.python.pydev.editor.PythonEditor",1290020413261
activated,editor,org.python.pydev,1.6.3.2010100513,"org.python.pydev.editor.PythonEditor",1290020418839
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1290020442422
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1290020492114
executed,command,,,"org.python.pydev.debug.ui.launchShortcut.python.unittest.run",1290020500216
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1290020515207
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1290020516339
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1290020525522
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1290020577827
activated,editor,org.python.pydev,1.6.3.2010100513,"org.python.pydev.editor.PythonEditor",1290020582454
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1290020604956
started,bundle,org.eclipse.ui.browser,3.3.0.v20100517,"org.eclipse.ui.browser",1290020618416
opened,editor,org.eclipse.ui.browser,3.3.0.v20100517,"org.eclipse.ui.browser.editor",1290020621590
activated,editor,org.eclipse.ui.browser,3.3.0.v20100517,"org.eclipse.ui.browser.editor",1290020621640
activated,editor,org.python.pydev,1.6.3.2010100513,"org.python.pydev.editor.PythonEditor",1290020631594
closed,editor,org.eclipse.ui.browser,3.3.0.v20100517,"org.eclipse.ui.browser.editor",1290020631594
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1290020637042
activated,editor,org.python.pydev,1.6.3.2010100513,"org.python.pydev.editor.PythonEditor",1290020645595
activated,editor,org.python.pydev,1.6.3.2010100513,"org.python.pydev.editor.PythonEditor",1290020674506
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1290020891839
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1290022790449
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1290023130388
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1290023925793
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1290024177325
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1290024178737
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.refresh",1290024180760
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1290024181220
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1290024181391
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1290024228919
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1290024233385
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1290024570470
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1290024572904
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1290024572914
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1290024572984
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1290024598380
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1290024610368
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1290024610378
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1290024610488
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1290024655903
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1290024666448
